City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Gotsu,JP,35.0,132.2167,75.27,83,100,13.49,light rain
79,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,71,87,17.76,overcast clouds
80,Mount Pleasant,US,32.7941,-79.8626,87.31,80,40,10.36,scattered clouds
81,Kaseda,JP,31.4167,130.3167,77.9,85,97,4.81,light rain
82,Ust-Maya,RU,60.4167,134.5333,66.38,72,0,2.66,clear sky
83,Saint-Georges,GD,12.0564,-61.7485,80.13,85,100,18.25,overcast clouds
84,Narsaq,GL,60.9167,-46.05,57.42,65,9,9.64,clear sky
85,Ilulissat,GL,69.2167,-51.1,60.82,36,20,10.36,few clouds
86,Berlevag,NO,70.8578,29.0864,55.4,87,100,5.75,overcast clouds
87,Bela,IN,25.9333,81.9833,96.4,43,74,13.06,broken clouds
88,Shar,KZ,49.5886,81.0453,67.84,64,74,4.05,broken clouds
89,Geraldton,AU,-28.7667,114.6,54.01,94,40,8.05,scattered clouds
90,Charters Towers,AU,-20.1,146.2667,57.34,88,33,6.33,scattered clouds
91,Chuy,UY,-33.6971,-53.4616,52.18,62,0,12.55,clear sky
92,Ochamchira,GE,42.7121,41.4721,72.09,88,55,3.33,broken clouds
93,Batagay-Alyta,RU,67.8006,130.4114,49.28,81,100,1.25,overcast clouds
94,Puerto Cabezas,NI,14.0351,-83.3888,85.95,65,20,11.56,few clouds
95,Hailar,CN,49.2,119.7,61.68,90,51,0.27,broken clouds
96,Alofi,NU,-19.0595,-169.9187,77.86,71,24,24.36,few clouds
97,Chokurdakh,RU,70.6333,147.9167,40.06,67,16,11.45,few clouds
98,Khatanga,RU,71.9667,102.5,57.81,62,100,5.06,overcast clouds
99,Alyangula,AU,-13.8483,136.4192,67.71,91,32,9.04,scattered clouds
100,Saldanha,ZA,-33.0117,17.9442,57.42,93,0,7.96,clear sky
101,Upernavik,GL,72.7868,-56.1549,41.18,86,53,15.14,broken clouds
102,Bujaru,BR,-1.515,-48.0447,93.52,39,82,6.24,broken clouds
103,Bairiki,KI,1.3292,172.9752,78.8,89,75,5.75,light rain
104,Georgetown,MY,5.4112,100.3354,84.13,85,20,0.0,few clouds
105,Maragogi,BR,-9.0122,-35.2225,77.02,77,19,12.97,few clouds
106,Leningradskiy,RU,69.3833,178.4167,31.98,82,60,21.79,broken clouds
107,San Cristobal,VE,7.7669,-72.225,80.78,58,78,7.31,broken clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,53.89,78,87,8.5,overcast clouds
109,Coahuayana,MX,18.7333,-103.6833,90.21,54,100,3.15,overcast clouds
110,Thompson,CA,55.7435,-97.8558,83.34,40,24,8.41,few clouds
111,Cabo San Lucas,MX,22.8909,-109.9124,92.61,29,0,6.91,clear sky
112,Butaritari,KI,3.0707,172.7902,81.77,74,99,10.4,overcast clouds
113,Pangkalanbuun,ID,-2.6833,111.6167,69.91,98,95,2.55,overcast clouds
114,Olovyannaya,RU,50.95,115.5667,60.85,92,100,1.16,overcast clouds
115,Mataura,NZ,-46.1927,168.8643,51.48,88,86,5.84,overcast clouds
116,Yulara,AU,-25.2406,130.9889,50.05,26,19,9.62,few clouds
117,Nizhniy Kuranakh,RU,58.8353,125.4869,65.86,81,43,1.68,scattered clouds
118,Tiksi,RU,71.6872,128.8694,36.77,78,99,4.21,overcast clouds
119,Makhinjauri,GE,41.6739,41.694,73.26,88,75,0.0,broken clouds
120,Lorengau,PG,-2.0226,147.2712,81.5,80,90,9.71,moderate rain
121,Sawankhalok,TH,17.316,99.8319,80.08,79,83,6.67,broken clouds
122,Richards Bay,ZA,-28.783,32.0377,66.79,80,0,11.83,clear sky
123,Umm Lajj,SA,25.0213,37.2685,86.13,58,70,5.82,broken clouds
124,Asau,RO,46.4333,26.4,69.28,49,30,8.39,scattered clouds
125,La Rioja,ES,42.25,-2.5,96.58,27,37,5.55,scattered clouds
126,Norilsk,RU,69.3535,88.2027,59.04,64,96,4.65,overcast clouds
127,Cap-Aux-Meules,CA,47.3821,-61.8597,63.48,88,33,17.52,scattered clouds
128,Kununurra,AU,-15.7667,128.7333,53.58,76,20,0.0,few clouds
129,Carahue,CL,-38.7,-73.1667,49.01,89,100,10.6,overcast clouds
130,Poum,NC,-20.2333,164.0167,72.93,73,33,18.54,scattered clouds
131,Umm Kaddadah,SD,13.6017,26.6876,93.36,29,13,6.13,few clouds
132,Isangel,VU,-19.55,169.2667,74.19,86,84,15.08,broken clouds
133,Show Low,US,34.2542,-110.0298,91.65,25,0,6.91,clear sky
134,Mayo,US,38.8876,-76.5119,87.91,77,0,6.91,clear sky
135,Banda Aceh,ID,5.5577,95.3222,79.74,81,84,4.59,broken clouds
136,Kruisfontein,ZA,-34.0033,24.7314,74.88,27,1,9.75,clear sky
137,Fayaoue,NC,-20.65,166.5333,73.06,78,100,17.13,overcast clouds
138,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,40,16.11,scattered clouds
139,San Joaquin,US,37.9333,-121.3011,96.51,31,0,6.91,clear sky
140,East London,ZA,-33.0153,27.9116,67.14,52,0,5.75,clear sky
141,Amapa,BR,1.0,-52.0,87.21,58,38,2.37,scattered clouds
142,Guryevsk,RU,54.2833,85.9333,49.69,92,16,5.64,few clouds
143,Yahotyn,UA,50.2798,31.7625,57.78,59,46,9.42,scattered clouds
144,Coihaique,CL,-45.5752,-72.0662,40.95,70,75,6.91,broken clouds
145,Sibolga,ID,1.7427,98.7792,76.23,83,9,3.2,clear sky
146,Half Moon Bay,US,37.4636,-122.4286,83.88,70,75,17.27,mist
147,Fortuna,US,40.5982,-124.1573,59.99,76,37,8.68,scattered clouds
148,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,100,2.24,mist
149,Ambilobe,MG,-13.2,49.05,71.73,56,60,6.22,broken clouds
150,Bosaso,SO,11.2842,49.1816,94.17,39,0,12.39,clear sky
151,Xai-Xai,MZ,-25.0519,33.6442,65.5,82,7,5.55,clear sky
152,Linfen,CN,36.0889,111.5189,81.86,44,42,0.34,scattered clouds
153,Lagoa,PT,39.05,-27.9833,70.92,89,52,10.67,broken clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,57,0,11.5,clear sky
155,Kirkwall,GB,58.9848,-2.9587,60.85,88,40,3.44,scattered clouds
156,Mehamn,NO,71.0357,27.8492,55.35,76,40,6.91,scattered clouds
157,Jalakandapuram,IN,11.6978,77.873,76.15,88,100,3.98,overcast clouds
158,Necochea,AR,-38.5473,-58.7368,56.84,38,6,18.88,clear sky
159,Nikolskoye,RU,59.7035,30.7861,58.91,94,98,5.99,overcast clouds
160,Kraslava,LV,55.8951,27.168,56.3,85,69,4.72,broken clouds
161,Xinmin,CN,41.9908,122.8253,67.95,90,48,5.75,scattered clouds
162,Gao,ML,16.6362,1.637,98.37,27,13,10.27,few clouds
163,Novikovo,RU,51.1537,37.8879,61.02,72,97,5.23,overcast clouds
164,Severo-Kurilsk,RU,50.6789,156.125,53.06,97,100,0.98,overcast clouds
165,Taoudenni,ML,22.6783,-3.9836,112.41,9,70,14.45,broken clouds
166,Huarmey,PE,-10.0681,-78.1522,67.84,69,13,10.76,few clouds
167,Husavik,IS,66.0449,-17.3389,46.8,91,99,11.07,overcast clouds
168,Kamarion,GR,36.8,25.8167,78.1,73,0,31.74,clear sky
169,Auki,SB,-8.7676,160.7034,76.35,88,31,4.5,scattered clouds
170,Ramhormoz,IR,31.28,49.6035,104.81,8,0,3.42,clear sky
171,Padang,ID,-0.9492,100.3543,73.45,81,84,3.62,broken clouds
172,Souillac,MU,-20.5167,57.5167,70.05,67,47,21.92,scattered clouds
173,Iquique,CL,-20.2208,-70.1431,60.84,66,22,8.86,few clouds
174,Port Alfred,ZA,-33.5906,26.891,73.58,33,2,13.98,clear sky
175,Madhogarh,IN,26.276,79.1869,99.0,33,45,6.42,scattered clouds
176,Jinchang,CN,38.4953,102.1739,71.42,46,100,2.75,overcast clouds
177,Hobyo,SO,5.3505,48.5268,77.13,77,41,31.16,scattered clouds
178,Minas,UY,-34.3759,-55.2377,51.04,56,1,16.22,clear sky
179,Norman Wells,CA,65.282,-126.8329,69.62,57,86,2.95,overcast clouds
180,Kabalo,CD,-6.05,26.9167,82.45,36,59,2.84,broken clouds
181,Guilin,CN,25.2819,110.2864,79.74,93,100,0.56,overcast clouds
182,Buritis,BR,-15.6178,-46.4233,87.31,26,9,8.21,clear sky
183,Santiago Del Estero,AR,-27.7951,-64.2615,64.49,22,0,15.08,clear sky
184,Bluff,NZ,-46.6,168.3333,51.8,67,87,20.65,overcast clouds
185,Champerico,GT,14.3,-91.9167,84.11,74,76,5.99,broken clouds
186,Marienburg,PL,54.0359,19.0266,66.88,59,83,8.05,broken clouds
187,Urshelskiy,RU,55.6783,40.2169,63.14,66,95,3.13,overcast clouds
188,San Patricio,US,28.017,-97.5169,95.72,36,82,12.01,broken clouds
189,Clyde River,CA,70.4692,-68.5914,39.63,76,67,5.59,broken clouds
190,Bereda,ES,43.2686,-7.5406,88.41,56,42,4.45,light rain
191,Rio Esteban,HN,15.8333,-86.3,86.05,57,27,8.3,scattered clouds
192,Cortes,ES,41.9395,-1.4396,105.85,12,0,9.6,clear sky
193,Dicabisagan,PH,17.0818,122.4157,79.07,88,44,2.53,scattered clouds
194,Krasnoselkup,RU,65.7,82.4667,52.57,80,48,10.11,scattered clouds
195,Diamantino,BR,-14.4086,-56.4461,92.03,30,2,8.48,clear sky
196,Bubaque,GW,11.2833,-15.8333,81.27,84,95,13.35,light rain
197,Tuatapere,NZ,-46.1333,167.6833,55.13,61,61,12.08,broken clouds
198,Port Blair,IN,11.6667,92.75,81.28,84,100,9.1,overcast clouds
199,Port Lincoln,AU,-34.7333,135.8667,53.73,53,99,8.97,overcast clouds
200,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,overcast clouds
201,Sioux Lookout,CA,50.1001,-91.917,85.21,34,0,7.56,clear sky
